"","Mean.ISLAND","Mean.STRATA","Mean.OBS_YEAR","Mean.N","Mean.CORAL","Mean.MA","Mean.TURF","Mean.UC","Mean.CCA","Mean.TW","Mean.EMA","Mean.SC","Mean.I","Mean.SED","Mean.HAL","Mean.MF","Mean.TOT_AREA_WT","PooledSE.ISLAND","PooledSE.STRATA","PooledSE.OBS_YEAR","PooledSE.N","PooledSE.CORAL","PooledSE.MA","PooledSE.TURF","PooledSE.UC","PooledSE.CCA","PooledSE.TW","PooledSE.EMA","PooledSE.SC","PooledSE.I","PooledSE.SED","PooledSE.HAL","PooledSE.MF"
"1","Rose","Backreef_All",2010,6,0.464576074332172,0.174216027874564,64.5405353182426,1.86725980425577,17.96263626583,5.7678687999043,6.06701971430571,0,0,10.7910165994149,0,0,171.3562,"Rose","Backreef_All",2010,6,0.397217746107744,0.173451834788963,7.25202659543289,1.24922621280161,6.5336229663162,1.4479943369998,3.78786501855635,0,0,6.66514402033003,0,0
"2","Hawaii","Forereef_Deep",2010,12,9.19287403227761,1.43643795183568,65.387193529361,6.03395454814879,10.3789131416929,1.42971749806986,6.14548748951108,0,0.10969035504173,7.05272311545481,0.296680384825261,0.0769655910483431,4473.050827,"Hawaii","Forereef_Deep",2010,12,3.20289169395555,0.393458308021422,4.0609991159672,2.43676890837922,1.27698913491327,0.225350807178627,0.899176029944554,0,0.109662545414038,2.24217679802506,0.110342096290855,0.0410127760158448
"3","Kauai","Forereef_Deep",2010,10,2.92754113629631,1.93530737884608,77.415662747836,2.40448196100367,5.54500721149426,0.794306640898965,7.47384667431025,0.120754728634597,0.425434423060403,3.8467627866731,0.309682912849043,0,7199.060471,"Kauai","Forereef_Deep",2010,10,0.82145667873025,0.762692777841578,1.7786113590445,0.665164616005837,1.20341319579858,0.115526054127199,2.00951035997887,0.120712953835448,0.313331860032589,1.44376008890529,0.139114354086883,0
"4","Lanai","Forereef_Deep",2010,2,10.8244084682441,24.6002490660025,51.2104607721046,4.68493150684932,4.25778331257783,1.23038605230386,1.88356164383562,0,0,5.84308841843088,1.38044831880448,0,246.6043512,"Lanai","Forereef_Deep",2010,2,8.07648227673382,20.4698766761211,21.3705811074759,3.31170607219123,0.832280752177284,0.139335492143282,1.88165117738138,0,0,5.11062680111253,1.01578061906241,0
"5","Maui","Forereef_Deep",2010,5,13.6601501792429,11.692822758066,48.623627678439,2.88304075455273,7.43357436362374,0.590466256552181,5.34668471329421,0,0,12.4772003147556,0.76593999257852,0.0439598613265971,1421.3194442,"Maui","Forereef_Deep",2010,5,4.4994695439006,3.77876424998672,9.72229706571171,0.465176508391754,2.89774483205791,0.17325597983408,0.462478453137068,0,0,8.63167062901323,0.765723192475777,0.0439292072762617
"6","Molokai","Forereef_Deep",2010,6,20.85519960681,8.28005149434897,55.5204748495749,2.02571950053778,3.24372226790708,0.870009805064807,3.76667697753897,0,0,6.90977343951938,1.42410136430066,0,1988.1910025,"Molokai","Forereef_Deep",2010,6,5.14532719445317,6.78676401288787,5.30489429454156,0.272912249790974,0.890833266037648,0.250443303124049,2.41589248354921,0,0,1.97366955627855,1.18946979310017,0
"7","Niihau","Forereef_Deep",2010,5,0.683790260451245,8.62703105015125,73.5571654264043,1.88183837510509,1.86951967401569,1.30258929949369,1.50527860802338,0,0,13.7572149809542,0,0.15114844649895,2495.961988,"Niihau","Forereef_Deep",2010,5,0.247222753004982,4.53975112133081,7.80760478758459,0.637372857305646,0.412708374059177,0.338820077044966,0.522173745943335,0,0,4.94899204552257,0,0.113101616723017
"8","Oahu","Forereef_Deep",2010,10,9.88979410530515,14.399340464103,51.4854616861024,3.98750909703074,3.55210334794771,0.579660059138231,1.41447485236793,0,0.12055185050367,17.809966852214,1.32830684145615,0.229822661645268,3041.7103178,"Oahu","Forereef_Deep",2010,10,2.57809293811122,5.86064748511877,2.85899332649257,1.22641637335551,0.645293708894895,0.154917525600842,0.49194558600085,0,0.0855481565443913,5.89958090505609,0.884955279099607,0.143160847893083
"9","Ofu & Olosega","Forereef_Deep",2010,10,23.167626760055,1.52581167528532,20.2931508471114,15.8136050154284,34.6123682042933,4.84732232622955,6.32279488788322,0.263392985792917,7.62646744594273,3.28989444463735,2.89849274899874,0.178571428571429,303.685,"Ofu & Olosega","Forereef_Deep",2010,10,3.33152956512059,0.819690864108507,4.60578057129879,3.55925752402322,2.39390795860677,0.966831947350147,1.22358717604667,0.192480569359183,4.29406845500941,1.52358882046603,1.43843088025112,0.177834890469961
"10","Rose","Forereef_Deep",2010,8,18.1169100239251,8.2971887265169,21.0132103120947,1.92758830634659,23.995278115937,4.088966296616,14.7738244761082,2.67633594081998,0.363512942490429,0.609756097560976,10.1539833645466,0,16.5025,"Rose","Forereef_Deep",2010,8,4.36362003180044,3.26150977015492,4.23593857680231,0.71647606626699,2.04492214219098,0.690750032619983,2.97982484945411,1.51963860029577,0.184704944265131,0.57161381744178,4.72876181860454,0
"11","South Bank","Forereef_Deep",2010,2,2.2788614893878,24.1682002208318,49.7337749969329,2.10280947123052,2.62667157404,2.97632192369035,6.47773279352227,0.174825174825175,0.524475524475524,13.3143172616857,0.701140964298859,0,25,"South Bank","Forereef_Deep",2010,2,1.21754921775895,0.0419006962720028,1.99423023996029,0.697130424931309,0.168817298023435,0.514953484618249,1.20236780606619,0.173068093297407,0.51920427989222,2.45027984721065,0.347957955997944,0
"12","Swains","Forereef_Deep",2010,9,21.188822086877,33.3409669260484,18.8482962240913,1.45625360502911,9.95374080077253,2.04829407000225,16.6107026978429,0,0,0.0574712643678161,0,0,24.60461096,"Swains","Forereef_Deep",2010,9,3.5604127331426,3.4128207028008,2.16389430214629,0.303801118560817,1.38430090522289,0.536124189175149,1.58529233673544,0,0,0.0538537221820718,0,0
