FID,ANALYST,OBS_YEAR,MISSION_ID,SITE,SEGMENT,SEGLENGTH,SEGWIDTH,NO_COLONY_,SPCODE,FRAGMENT_Y,MORPH_CODE,EX_BOUND,OLDDEAD,RDCAUSE1,RD_1,RDCAUSE2,RD_2,RDCAUSE3,RD_3,CON_1,EXTENT_1,SEV_1,CON_2,EXTENT_2,SEV_2,CON_3,EXTENT_3,SEV_3,SHAPE_Leng
0,CA,2019,SE1902,HAW-4221,1,2.5,1,0,PMEA,0,BR,0,0, ,0, ,0, ,0, ,0,0, ,0,0, ,0,0,0.085374762
1,CA,2019,SE1902,HAW-4221,1,2.5,1,0,POSP,0,EM,0,4, ,0, ,0, ,0, ,0,0, ,0,0, ,0,0,0.100469348
2,CA,2019,SE1902,HAW-4221,1,2.5,1,0,PLOB,0,EM,0,30, ,0, ,0, ,0,PRS,2,0, ,0,0, ,0,0,0.329229403
3,CA,2019,SE1902,HAW-4221,1,2.5,1,0,PMEA,0,BR,0,0, ,0, ,0, ,0, ,0,0, ,0,0, ,0,0,0.088897469
4,CA,2019,SE1902,HAW-4221,1,2.5,1,0,POSP,0,EM,0,78, ,0, ,0, ,0,PRS,3,0, ,0,0, ,0,0,0.768838631
5,CA,2019,SE1902,HAW-4221,1,2.5,1,0,PLOB,0,EM,0,28, ,0, ,0, ,0,PRS,1,0, ,0,0, ,0,0,0.367351126
6,CA,2019,SE1902,HAW-4221,1,2.5,1,0,PLIC,0,EM,0,15, ,0, ,0, ,0, ,0,0, ,0,0, ,0,0,0.11175585
7,CA,2019,SE1902,HAW-4221,1,2.5,1,0,PMEA,0,BR,0,0, ,0, ,0, ,0, ,0,0, ,0,0, ,0,0,0.056405763
8,CA,2019,SE1902,HAW-4221,1,2.5,1,0,POSP,0,EM,0,28, ,0, ,0, ,0,PRS,1,0, ,0,0, ,0,0,0.192092322
9,CA,2019,SE1902,HAW-4221,1,2.5,1,0,PLOB,0,EM,0,33, ,0, ,0, ,0,PRS,1,0, ,0,0, ,0,0,0.553040334
10,CA,2019,SE1902,HAW-4221,1,2.5,1,0,POSP,0,EM,0,10, ,0, ,0, ,0,PRS,1,0, ,0,0, ,0,0,0.082535447
11,CA,2019,SE1902,HAW-4221,1,2.5,1,0,PMEA,0,BR,0,10,TLS,5, ,0, ,0, ,0,0, ,0,0, ,0,0,0.23645729
12,CA,2019,SE1902,HAW-4221,1,2.5,1,0,POSP,0,EM,0,3, ,0, ,0, ,0, ,0,0, ,0,0, ,0,0,0.104385153
13,CA,2019,SE1902,HAW-4221,1,2.5,1,0,POSP,0,EM,0,70, ,0, ,0, ,0, ,0,0, ,0,0, ,0,0,0.128265545
14,CA,2019,SE1902,HAW-4221,1,2.5,1,0,PLOB,0,EM,0,75,PUS,25, ,0, ,0,PRS,2,0, ,0,0, ,0,0,0.410219759
15,CA,2019,SE1902,HAW-4221,1,2.5,1,0,PLOB,0,EM,0,15,PUS,8, ,0, ,0,PRS,3,0, ,0,0, ,0,0,0.674855844
16,CA,2019,SE1902,HAW-4221,1,2.5,1,0,PMEA,0,BR,0,65,TLS,10, ,0, ,0, ,0,0, ,0,0, ,0,0,0.307711163
17,MA,2019,SE1902,HAW-4221,0,2.5,1,0,PMEA,0,BR,0,0, ,0, ,0, ,0, ,0,0, ,0,0, ,0,0,0.086114574
18,MA,2019,SE1902,HAW-4221,0,2.5,1,0,PMEA,0,BR,0,0, ,0, ,0, ,0, ,0,0, ,0,0, ,0,0,0.08810732
19,MA,2019,SE1902,HAW-4221,0,2.5,1,0,PLOB,0,EF,0,3, ,0, ,0, ,0, ,0,0, ,0,0, ,0,0,0.101588631
20,MA,2019,SE1902,HAW-4221,0,2.5,1,0,PMON,0,EM,0,70, ,0, ,0, ,0, ,0,0, ,0,0, ,0,0,0.772290625
21,MA,2019,SE1902,HAW-4221,0,2.5,1,0,PLOB,0,EM,0,30, ,0, ,0, ,0,DIS,7,0, ,0,0, ,0,0,0.363856153
22,MA,2019,SE1902,HAW-4221,0,2.5,1,0,PLOB,0,EM,0,10, ,0, ,0, ,0,ALG,3,0, ,0,0, ,0,0,0.119903502
23,MA,2019,SE1902,HAW-4221,0,2.5,1,0,PLOB,0,EM,0,30, ,0, ,0, ,0, ,0,0, ,0,0, ,0,0,0.369351878
24,MA,2019,SE1902,HAW-4221,0,2.5,1,0,PMEA,0,BR,0,0, ,0, ,0, ,0, ,0,0, ,0,0, ,0,0,0.060424167
25,MA,2019,SE1902,HAW-4221,0,2.5,1,0,PLOB,0,MD,0,0, ,0, ,0, ,0, ,0,0, ,0,0, ,0,0,0.096580174
26,MA,2019,SE1902,HAW-4221,0,2.5,1,0,PLOB,0,EM,0,5, ,0, ,0, ,0, ,0,0, ,0,0, ,0,0,0.10575221
27,MA,2019,SE1902,HAW-4221,0,2.5,1,0,POCS,0,BR,0,3,TLS,5,FISH,2, ,0, ,0,0, ,0,0, ,0,0,0.196401248
