Source.Name,FID,ANALYST,OBS_YEAR,MISSION_ID,SITE,TRANSECT,SEGMENT,SEGLENGTH,SEGWIDTH,NO_COLONY,SPCODE,EX_BOUND,JUVENILE,FRAGMENT,REMNANT,OLDDEAD,MORPH_CODE,RDCAUSE1,RD_1,RDCAUSE2,RD_2,RDCAUSE3,RD_3,CON_1,EXTENT_1,SEV_1,CON_2,EXTENT_2,SEV_2,CON_3,EXTENT_3,SEV_3,Shape_Leng,SEGAREA,site_seg,REVIEW_ANALYST,Lump_Split_Error,SPCODE_CORRECT,MORPH_CORRECT,RDCAUSE_CORRECT,CONDITION_CORRECT,SEVERITY_CORRECT,SIZE_CORRECT,DELETE_COLONY,OLD_DEAD_CORRECT
Benthic_SfM_ReviewAssignments_CSCAdultAndJuveniles.csv,4430,AH,2019,SE1902,LAN-01788,A,5,2.5,1,0,POSP,0,0,0,0,30,MD,NA,0,NA,0,NA,0,BLE,20,3,ALG,5,0,NA,0,0,0.812496897,2.5,LAN-01788_5,CSC,Lump with 4445,NA,NA,NA,NA,NA,NA,NA,NA
Benthic_SfM_ReviewAssignments_RSAdultAndJuveniles.csv,4937,FL,2019,SE1902,LAN-01819,A,0,2.5,1,0,POSP,0,0,0,-1,0,EF,NA,0,NA,0,NA,0,NA,0,0,NA,0,0,NA,0,0,0.007940403,2.5,LAN-01819_0,RS,LUMP WITH 4936,NA,NA,NA,NA,NA,NA,NA,NA
Benthic_SfM_ReviewAssignments_RSAdultAndJuveniles.csv,4935,FL,2019,SE1902,LAN-01819,A,0,2.5,1,0,POSP,0,0,0,-1,0,EF,NA,0,NA,0,NA,0,NA,0,0,NA,0,0,NA,0,0,0.009871676,2.5,LAN-01819_0,RS,LUMP WITH 4937,NA,NA,NA,NA,NA,NA,NA,NA
Benthic_SfM_ReviewAssignments_CSCAdultAndJuveniles.csv,6395,FL,2019,SE1902,MAI-02530,A,10,1,1,0,PLUT,0,-1,0,0,NA,EM,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.022299999,1,MAI-02530_10,CSC,Lump with 6353,NA,NA,NA,NA,NA,NA,NA,NA
Benthic_SfM_ReviewAssignments_CSCAdultAndJuveniles.csv,6396,FL,2019,SE1902,MAI-02530,A,10,1,1,0,PLUT,0,-1,0,0,NA,EM,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.032429924,1,MAI-02530_10,CSC,Lump with 6354,NA,NA,NA,NA,NA,NA,NA,NA
Benthic_SfM_ReviewAssignments_CSCAdultAndJuveniles.csv,6398,FL,2019,SE1902,MAI-02530,A,10,1,1,0,PLUT,0,-1,0,0,NA,EM,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.040119944,1,MAI-02530_10,CSC,Lump with 6355,NA,NA,NA,NA,NA,NA,NA,NA
Benthic_SfM_ReviewAssignments_CSCAdultAndJuveniles.csv,6399,FL,2019,SE1902,MAI-02530,A,10,1,1,0,PLUT,0,-1,0,0,NA,EM,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.015264338,1,MAI-02530_10,CSC,Lump with 6356,NA,NA,NA,NA,NA,NA,NA,NA
Benthic_SfM_ReviewAssignments_CSCAdultAndJuveniles.csv,6400,FL,2019,SE1902,MAI-02530,A,10,2.5,1,0,PLUT,0,0,0,0,5,MD,NA,0,NA,0,NA,0,NA,0,0,NA,0,0,NA,0,0,0.051447059,2.5,MAI-02530_10,CSC,Lump with 6357,NA,NA,NA,NA,NA,NA,NA,NA
Benthic_SfM_ReviewAssignments_CSCAdultAndJuveniles.csv,6401,FL,2019,SE1902,MAI-02530,A,10,1,1,0,PLUT,0,-1,0,0,NA,EM,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.029856489,1,MAI-02530_10,CSC,Lump with 6357,NA,NA,NA,NA,NA,NA,NA,NA
Benthic_SfM_ReviewAssignments_CSCAdultAndJuveniles.csv,6402,FL,2019,SE1902,MAI-02530,A,10,2.5,1,0,PLUT,0,0,0,0,5,EM,NA,0,NA,0,NA,0,NA,0,0,NA,0,0,NA,0,0,0.123397325,2.5,MAI-02530_10,CSC,Lump with 6358,NA,NA,NA,NA,NA,NA,NA,NA
