Name,Row,Column,Label,Annotator
BAK-705_2018_A_18_Dummy9.JPG,938,762,*TURFH,ed0ard0sena
BAK-705_2018_A_18_Dummy9.JPG,273,1349,*POMA,ed0ard0sena
BAK-705_2018_A_18_Dummy9.JPG,150,2338,*POMA,ed0ard0sena
BAK-705_2018_A_18_Dummy9.JPG,1801,4268,*CCAR,ed0ard0sena
BAK-705_2018_A_18_Dummy9.JPG,357,4300,*CCAH,ed0ard0sena
BAK-705_2018_A_18_Dummy9.JPG,3235,778,*TURFR,ed0ard0sena
BAK-705_2018_A_18_Dummy9.JPG,2818,1585,*TURFR,ed0ard0sena
BAK-705_2018_A_18_Dummy9.JPG,1999,3212,*TURFR,ed0ard0sena
BAK-705_2018_A_18_Dummy9.JPG,3338,3621,*TURFR,ed0ard0sena
BAK-705_2018_A_18_Dummy9.JPG,3500,4327,*TURFR,ed0ard0sena
BAK-712_2018_A_15_Dummy9.JPG,536,970,*PESP,ed0ard0sena
BAK-712_2018_A_15_Dummy9.JPG,869,1444,*TURFH,ed0ard0sena
BAK-712_2018_A_15_Dummy9.JPG,629,2255,*TURFH,ed0ard0sena
BAK-712_2018_A_15_Dummy9.JPG,1445,3372,*PAMA,ed0ard0sena
BAK-712_2018_A_15_Dummy9.JPG,1711,4657,*CCAH,ed0ard0sena
BAK-712_2018_A_15_Dummy9.JPG,2828,164,*ACTA,ed0ard0sena
BAK-712_2018_A_15_Dummy9.JPG,3108,1476,*SHAD,ed0ard0sena
BAK-712_2018_A_15_Dummy9.JPG,1998,3109,*ACTA,ed0ard0sena
BAK-712_2018_A_15_Dummy9.JPG,2415,3488,*ACTA,ed0ard0sena
BAK-712_2018_A_15_Dummy9.JPG,3400,5279,*TURFH,ed0ard0sena
BAK-724_2018_A_12_Dummy9.JPG,287,696,*HALI,ed0ard0sena
BAK-724_2018_A_12_Dummy9.JPG,526,1968,*CCAH,ed0ard0sena
BAK-724_2018_A_12_Dummy9.JPG,297,2449,*SHAD,ed0ard0sena
BAK-724_2018_A_12_Dummy9.JPG,279,4080,*FASP,ed0ard0sena
BAK-724_2018_A_12_Dummy9.JPG,1169,5296,*TURFH,ed0ard0sena
BAK-724_2018_A_12_Dummy9.JPG,3180,1116,*TURFH,ed0ard0sena
BAK-724_2018_A_12_Dummy9.JPG,2688,1234,*HALI,ed0ard0sena
BAK-724_2018_A_12_Dummy9.JPG,1868,3115,*HALI,ed0ard0sena
BAK-724_2018_A_12_Dummy9.JPG,3212,4182,*CCAH,ed0ard0sena
BAK-724_2018_A_12_Dummy9.JPG,2765,4832,*ACBR,ed0ard0sena
BAK-748_2018_A_04_Dummy9.JPG,343,149,*FUSP,ed0ard0sena
BAK-748_2018_A_04_Dummy9.JPG,188,1280,*HALI,ed0ard0sena
BAK-748_2018_A_04_Dummy9.JPG,688,2883,*CCAH,ed0ard0sena
BAK-748_2018_A_04_Dummy9.JPG,926,3758,*ACTA,ed0ard0sena
BAK-748_2018_A_04_Dummy9.JPG,443,5287,*ACTA,ed0ard0sena
BAK-748_2018_A_04_Dummy9.JPG,1996,1044,*ACBR,ed0ard0sena
BAK-748_2018_A_04_Dummy9.JPG,3237,1248,*ACBR,ed0ard0sena
BAK-748_2018_A_04_Dummy9.JPG,1941,3218,*TURFH,ed0ard0sena
BAK-748_2018_A_04_Dummy9.JPG,2190,3790,*CCAH,ed0ard0sena
BAK-748_2018_A_04_Dummy9.JPG,1953,4923,*ACTA,ed0ard0sena
BAK-748_2018_A_21_Dummy9.JPG,1418,240,*ACTA,ed0ard0sena
BAK-748_2018_A_21_Dummy9.JPG,491,1392,*ACTA,ed0ard0sena
BAK-748_2018_A_21_Dummy9.JPG,1550,2833,*PESP,ed0ard0sena
BAK-748_2018_A_21_Dummy9.JPG,577,3651,*ACTA,ed0ard0sena
BAK-748_2018_A_21_Dummy9.JPG,747,4471,*ACTA,ed0ard0sena
BAK-748_2018_A_21_Dummy9.JPG,3193,589,*ACBR,ed0ard0sena
BAK-748_2018_A_21_Dummy9.JPG,2482,1207,*ACTA,ed0ard0sena
BAK-748_2018_A_21_Dummy9.JPG,2235,2496,*ACTA,ed0ard0sena
BAK-748_2018_A_21_Dummy9.JPG,2751,4006,*CCAR,ed0ard0sena
BAK-748_2018_A_21_Dummy9.JPG,2777,5162,*PESP,ed0ard0sena
BAK-765_2018_A_02_Dummy9.JPG,758,445,*POCS,ed0ard0sena
BAK-765_2018_A_02_Dummy9.JPG,1192,1777,*FASP,ed0ard0sena
